src_ip,dst_ip,src_port,dst_port,protocol,flag,packet_count,byte_count,duration_ms,packets_per_sec,avg_packet_size,label
192.168.2.14,10.0.1.119,27156,443,TCP,SYN,39899,2060093,7222,5524.6469,51.6327,DoS
192.168.7.122,10.0.2.38,35787,443,TCP,SYN,34413,3304482,6172,5575.6643,96.0242,DoS
192.168.9.175,10.0.0.25,61167,8080,ICMP,PSH-ACK,32,40508,2333,13.7162,1265.875,Benign
192.168.6.70,10.0.2.206,7464,802,UDP,SYN,572,4961,2911,196.496,8.6731,PortScan
192.168.4.134,10.0.2.174,46262,53,TCP,SYN-ACK,5,44592,169,29.5858,8918.4,Benign
192.168.2.4,10.0.3.26,35447,22,TCP,PSH-ACK,27,14879,2420,11.157,551.0741,Benign
192.168.5.50,10.0.0.7,41616,9311,TCP,SYN,188,33419,49281,3.8149,177.7606,Backdoor
192.168.2.182,10.0.0.23,57151,443,TCP,SYN,48017,4848529,4027,11923.7646,100.9753,DoS
192.168.2.179,10.0.1.65,20328,80,TCP,SYN,46863,3903761,5528,8477.3878,83.3016,DoS
192.168.7.178,10.0.5.198,51494,332,UDP,SYN,899,2212,1635,549.8471,2.4605,PortScan
192.168.1.98,10.0.3.86,4960,22,UDP,SYN-ACK,1102,28192,18112,60.8436,25.5826,BruteForce
192.168.4.157,10.0.3.46,43326,22,UDP,SYN,1307,123050,9156,142.7479,94.1469,BruteForce
192.168.10.165,10.0.0.234,29963,80,ICMP,SYN-ACK,7,5278,676,10.355,754.0,Benign
192.168.10.187,10.0.2.199,30245,443,TCP,FIN,46,42465,107,429.9065,923.1522,Benign
192.168.1.171,10.0.3.69,10959,22,ICMP,SYN-ACK,41,742,4322,9.4863,18.0976,Benign
192.168.8.123,10.0.3.104,56339,53,ICMP,SYN,19,716,3249,5.848,37.6842,Benign
192.168.8.32,10.0.4.138,62302,25,UDP,SYN-ACK,24,26754,552,43.4783,1114.75,Benign
192.168.2.94,10.0.4.219,63999,443,TCP,SYN,47,8655,140,335.7143,184.1489,SQLInjection
192.168.9.11,10.0.3.170,13541,443,TCP,PSH-ACK,23,13772,299,76.9231,598.7826,SQLInjection
192.168.2.227,10.0.5.113,49214,80,TCP,ACK,17,2162,4957,3.4295,127.1765,Benign
192.168.4.126,10.0.3.17,52976,631,ICMP,SYN,611,9748,2340,261.1111,15.9542,PortScan
192.168.1.10,10.0.2.15,23156,22,ICMP,SYN,12,14372,4385,2.7366,1197.6667,Benign
192.168.8.241,10.0.5.223,58319,8080,TCP,ACK,84,9634,86,976.7442,114.6905,SQLInjection
192.168.1.189,10.0.1.126,43873,53,TCP,FIN,7,16404,1169,5.988,2343.4286,Benign
192.168.1.45,10.0.5.13,60311,22,UDP,SYN,44,11686,4941,8.9051,265.5909,Benign
192.168.2.210,10.0.0.30,33604,443,ICMP,RST,9,13780,3591,2.5063,1531.1111,Benign
192.168.6.208,10.0.5.174,27370,80,TCP,SYN,26075,1888718,1746,14934.1352,72.4341,DoS
192.168.10.45,10.0.2.17,8937,22,UDP,ACK,15,46132,3130,4.7923,3075.4667,Benign
192.168.9.43,10.0.3.63,61689,80,TCP,SYN,11551,3255215,3584,3222.9353,281.8124,DoS
192.168.1.226,10.0.3.21,1440,80,TCP,ACK,100,11297,263,380.2281,112.97,SQLInjection
192.168.8.178,10.0.1.53,10401,53,ICMP,SYN-ACK,33,27502,2059,16.0272,833.3939,Benign
192.168.3.157,10.0.5.10,40101,22,TCP,PSH-ACK,44,6268,2567,17.1406,142.4545,Benign
192.168.6.108,10.0.0.143,16466,8787,TCP,SYN,44,86123,33717,1.305,1957.3409,Backdoor
192.168.9.130,10.0.1.119,51508,80,TCP,SYN,23115,545175,4173,5539.1804,23.5853,DoS
192.168.2.204,10.0.1.176,56322,443,UDP,FIN,15,44418,453,33.1126,2961.2,Benign
192.168.1.166,10.0.2.73,14759,8080,UDP,SYN-ACK,44,30197,454,96.9163,686.2955,Benign
192.168.2.190,10.0.0.237,36240,80,TCP,ACK,36,34244,1050,34.2857,951.2222,Benign
192.168.2.230,10.0.1.185,30175,443,TCP,SYN,32463,1767247,6336,5123.5795,54.4388,DoS
192.168.4.200,10.0.0.84,15951,3389,TCP,ACK,1044,62417,14305,72.9815,59.7864,BruteForce
192.168.4.19,10.0.3.150,32770,443,TCP,FIN,18,40439,3827,4.7034,2246.6111,Benign
192.168.3.100,10.0.2.35,31022,25,ICMP,ACK,27,18174,1756,15.3759,673.1111,Benign
192.168.6.33,10.0.0.178,38292,443,TCP,SYN-ACK,12,31009,3856,3.112,2584.0833,Benign
192.168.7.44,10.0.2.57,59115,5728,UDP,RST,183,85154,21136,8.6582,465.3224,Backdoor
192.168.10.249,10.0.4.219,16077,443,TCP,SYN,19184,4071913,8581,2235.6369,212.2557,DoS
192.168.5.4,10.0.5.110,49270,7125,TCP,ACK,131,80951,24575,5.3306,617.9466,Backdoor
192.168.10.243,10.0.1.234,38622,22,TCP,FIN,282,133378,26034,10.832,472.9716,BruteForce
192.168.9.9,10.0.3.136,26866,80,UDP,PSH-ACK,33,32959,2070,15.942,998.7576,Benign
192.168.2.143,10.0.0.178,48982,272,UDP,SYN,467,5846,1479,315.7539,12.5182,PortScan
192.168.2.5,10.0.3.172,21001,941,TCP,SYN,978,1399,2363,413.8807,1.4305,PortScan
192.168.8.198,10.0.1.224,47104,443,TCP,SYN,46078,3994795,1022,45086.1057,86.6964,DoS
192.168.2.99,10.0.5.86,35818,22,TCP,SYN-ACK,22,46247,4543,4.8426,2102.1364,Benign
192.168.10.204,10.0.1.202,45894,443,TCP,SYN,8592,4417922,6963,1233.9509,514.1902,DoS
192.168.1.29,10.0.3.94,31521,8080,ICMP,SYN,28,11986,4677,5.9867,428.0714,Benign
192.168.2.144,10.0.5.199,14440,443,TCP,SYN-ACK,39,7942,4019,9.7039,203.641,Benign
192.168.10.224,10.0.5.54,50383,8080,ICMP,ACK,27,18021,4225,6.3905,667.4444,Benign
192.168.7.71,10.0.0.17,25456,8427,UDP,FIN,148,74033,18041,8.2035,500.223,Backdoor
192.168.8.182,10.0.4.174,55116,443,TCP,SYN-ACK,89,14063,459,193.8998,158.0112,SQLInjection
192.168.2.49,10.0.3.23,6278,8080,UDP,ACK,9,7667,1449,6.2112,851.8889,Benign
192.168.5.29,10.0.5.38,33551,80,TCP,SYN,24213,3594162,9870,2453.1915,148.4394,DoS
192.168.3.122,10.0.2.108,30112,80,ICMP,PSH-ACK,23,12890,615,37.3984,560.4348,Benign
192.168.1.224,10.0.1.214,63115,443,TCP,PSH-ACK,62,13232,385,161.039,213.4194,SQLInjection
192.168.6.125,10.0.4.171,46693,443,TCP,RST,68,11964,340,200.0,175.9412,SQLInjection
192.168.3.230,10.0.2.44,52749,22,UDP,ACK,28,19383,487,57.4949,692.25,Benign
192.168.3.91,10.0.2.117,63690,80,TCP,SYN,40082,2492821,3986,10055.6949,62.193,DoS
192.168.3.215,10.0.5.178,60315,80,TCP,SYN,20591,1080773,1674,12300.4779,52.4876,DoS
192.168.6.148,10.0.1.113,18090,443,UDP,ACK,40,46842,384,104.1667,1171.05,Benign
192.168.6.251,10.0.2.38,25463,333,UDP,SYN,646,5940,997,647.9438,9.195,PortScan
192.168.1.104,10.0.3.197,10551,80,TCP,SYN,5281,4681401,9313,567.0568,886.4611,DoS
192.168.6.166,10.0.5.76,32082,3389,UDP,RST,501,158172,25872,19.3646,315.7126,BruteForce
192.168.8.87,10.0.5.29,48972,80,TCP,SYN,49433,4721787,2914,16963.9671,95.5189,DoS
192.168.5.7,10.0.3.159,56131,8080,TCP,FIN,10,21888,550,18.1818,2188.8,Benign
192.168.10.165,10.0.1.150,35524,443,TCP,SYN-ACK,6,5978,4510,1.3304,996.3333,Benign
192.168.8.174,10.0.5.246,6750,443,ICMP,FIN,36,21324,4290,8.3916,592.3333,Benign
192.168.1.233,10.0.5.93,27078,443,TCP,PSH-ACK,57,14652,240,237.5,257.0526,SQLInjection
192.168.1.73,10.0.2.90,21214,80,TCP,RST,37,16556,429,86.2471,447.4595,SQLInjection
192.168.7.206,10.0.3.74,11758,3389,ICMP,FIN,1048,46586,29378,35.673,44.4523,BruteForce
192.168.10.154,10.0.0.37,14641,53,UDP,FIN,26,4832,4938,5.2653,185.8462,Benign
192.168.7.23,10.0.0.105,42888,443,UDP,FIN,40,30785,4752,8.4175,769.625,Benign
192.168.3.52,10.0.1.214,26043,443,TCP,RST,15,11895,477,31.4465,793.0,SQLInjection
192.168.10.78,10.0.3.144,49511,80,TCP,ACK,10,7047,184,54.3478,704.7,SQLInjection
192.168.5.245,10.0.5.214,42741,25,UDP,SYN,47,19353,3517,13.3637,411.766,Benign
192.168.3.126,10.0.5.166,17063,8080,TCP,SYN,36,4872,3063,11.7532,135.3333,Benign
192.168.10.124,10.0.4.112,57931,25,UDP,PSH-ACK,35,45998,1079,32.4374,1314.2286,Benign
192.168.6.132,10.0.5.148,2173,120,UDP,SYN,249,6237,2388,104.2714,25.0482,PortScan
192.168.3.92,10.0.1.14,18893,730,UDP,SYN,149,5749,1694,87.9575,38.5839,PortScan
192.168.9.164,10.0.0.132,13725,80,ICMP,ACK,43,49824,1469,29.2716,1158.6977,Benign
192.168.9.83,10.0.2.212,56401,8080,ICMP,SYN-ACK,48,46241,3069,15.6403,963.3542,Benign
192.168.2.137,10.0.4.91,54980,80,TCP,SYN,38958,2460703,7111,5478.5544,63.163,DoS
192.168.8.106,10.0.2.236,60713,443,TCP,SYN,14,33489,1911,7.326,2392.0714,Benign
192.168.4.204,10.0.4.158,46221,8080,TCP,RST,80,5734,263,304.1825,71.675,SQLInjection
192.168.8.235,10.0.0.30,54687,22,TCP,SYN,27,20919,3070,8.7948,774.7778,Benign
192.168.3.210,10.0.3.228,40191,443,ICMP,SYN-ACK,50,20467,335,149.2537,409.34,Benign
192.168.2.57,10.0.1.220,46521,80,TCP,SYN,25147,1151463,4438,5666.2911,45.7893,DoS
192.168.3.252,10.0.0.109,46297,39,TCP,SYN,893,8934,2266,394.0865,10.0045,PortScan
192.168.1.51,10.0.0.9,52997,53,ICMP,RST,8,31241,1074,7.4488,3905.125,Benign
192.168.5.12,10.0.0.78,44774,80,TCP,SYN,43,13961,4913,8.7523,324.6744,Benign
192.168.4.48,10.0.5.90,2941,6716,TCP,ACK,168,50591,33081,5.0784,301.1369,Backdoor
192.168.3.219,10.0.4.200,48770,80,TCP,SYN,11494,4949736,1229,9352.319,430.6365,DoS
192.168.9.56,10.0.5.50,64217,53,UDP,ACK,5,48036,908,5.5066,9607.2,Benign
192.168.4.236,10.0.4.218,47407,80,TCP,SYN,33813,1000303,3963,8532.1726,29.5834,DoS
192.168.6.252,10.0.3.109,15066,22,ICMP,ACK,12,21096,1112,10.7914,1758.0,Benign
192.168.8.29,10.0.4.35,33517,8080,UDP,PSH-ACK,40,47825,432,92.5926,1195.625,Benign
192.168.2.84,10.0.3.30,26241,53,UDP,FIN,24,45526,3736,6.424,1896.9167,Benign
192.168.4.142,10.0.3.75,57081,80,TCP,SYN,36173,3182321,3937,9187.9604,87.975,DoS
192.168.1.173,10.0.3.173,7916,53,UDP,FIN,47,44836,796,59.0452,953.9574,Benign
192.168.2.37,10.0.3.103,46573,25,ICMP,SYN,15,4740,3079,4.8717,316.0,Benign
192.168.4.87,10.0.1.153,56338,443,UDP,SYN,32,48026,4188,7.6409,1500.8125,Benign
192.168.5.196,10.0.5.197,39160,443,TCP,SYN,28337,4091520,7626,3715.8405,144.3879,DoS
192.168.8.131,10.0.2.38,51355,80,UDP,SYN,21,32569,4173,5.0324,1550.9048,Benign
192.168.4.161,10.0.1.8,7551,80,TCP,SYN,73,2876,141,517.7305,39.3973,SQLInjection
192.168.7.155,10.0.5.84,11033,3389,UDP,RST,397,30058,23662,16.778,75.7128,BruteForce
192.168.9.197,10.0.3.203,31565,25,TCP,SYN-ACK,36,32629,4235,8.5006,906.3611,Benign
192.168.5.139,10.0.2.208,57363,80,ICMP,RST,7,28707,1075,6.5116,4101.0,Benign
192.168.7.116,10.0.2.219,25687,74,UDP,SYN,133,3897,2780,47.8417,29.3008,PortScan
192.168.5.227,10.0.5.43,33233,8080,UDP,ACK,50,25998,4093,12.216,519.96,Benign
192.168.2.146,10.0.5.126,44282,53,ICMP,PSH-ACK,41,31290,3998,10.2551,763.1707,Benign
192.168.9.219,10.0.1.130,4676,443,TCP,SYN-ACK,85,14379,365,232.8767,169.1647,SQLInjection
192.168.6.197,10.0.2.83,5049,80,TCP,SYN,13401,3173670,6715,1995.6813,236.8234,DoS
192.168.10.7,10.0.5.88,25965,8080,TCP,FIN,27,27496,2977,9.0695,1018.3704,Benign
192.168.1.170,10.0.1.64,16400,3389,ICMP,SYN-ACK,373,190352,4146,89.9662,510.3271,BruteForce
192.168.5.30,10.0.2.44,2315,22,ICMP,SYN-ACK,1143,182429,15843,72.1454,159.6054,BruteForce
192.168.10.132,10.0.3.69,2361,53,ICMP,FIN,6,21243,3194,1.8785,3540.5,Benign
192.168.10.100,10.0.2.147,7428,25,UDP,SYN,48,13994,2852,16.8303,291.5417,Benign
192.168.8.129,10.0.5.87,11944,8080,ICMP,SYN-ACK,32,13722,4171,7.672,428.8125,Benign
192.168.2.216,10.0.4.55,19856,8080,UDP,SYN,41,26847,1950,21.0256,654.8049,Benign
192.168.10.191,10.0.0.184,56348,53,ICMP,SYN,26,18415,651,39.9386,708.2692,Benign
192.168.10.206,10.0.4.122,29014,158,TCP,SYN,767,5945,2567,298.7924,7.751,PortScan
192.168.5.111,10.0.5.139,21559,824,TCP,SYN,357,9443,2356,151.528,26.451,PortScan
192.168.9.47,10.0.0.161,47117,9169,ICMP,ACK,147,32912,53306,2.7577,223.8912,Backdoor
192.168.8.69,10.0.5.137,54038,53,ICMP,FIN,45,4424,4378,10.2787,98.3111,Benign
192.168.4.94,10.0.3.38,16777,25,TCP,PSH-ACK,24,29033,3460,6.9364,1209.7083,Benign
192.168.6.221,10.0.0.163,14364,8080,UDP,SYN-ACK,46,11024,2200,20.9091,239.6522,Benign
192.168.10.61,10.0.3.62,8466,22,TCP,ACK,702,91406,17209,40.7926,130.208,BruteForce
192.168.8.144,10.0.3.109,43420,443,TCP,ACK,22,9441,338,65.0888,429.1364,Benign
192.168.5.203,10.0.2.169,37115,80,TCP,PSH-ACK,36,1804,553,65.0995,50.1111,Benign
192.168.2.81,10.0.4.77,57854,8080,TCP,FIN,47,43585,839,56.0191,927.3404,Benign
192.168.7.242,10.0.5.216,10235,53,TCP,SYN,37,8406,4375,8.4571,227.1892,Benign
192.168.10.244,10.0.4.65,33559,53,TCP,ACK,12,21039,2797,4.2903,1753.25,Benign
192.168.10.189,10.0.3.207,50069,22,ICMP,ACK,18,9955,975,18.4615,553.0556,Benign
192.168.3.55,10.0.2.113,27787,80,TCP,RST,72,19480,241,298.7552,270.5556,SQLInjection
192.168.2.82,10.0.4.109,32144,8080,ICMP,ACK,14,24289,3993,3.5061,1734.9286,Benign
192.168.6.211,10.0.2.6,43320,3389,ICMP,SYN,1556,24332,24632,63.1699,15.6375,BruteForce
192.168.4.65,10.0.4.99,21292,443,TCP,SYN,49908,1123861,9763,5111.9533,22.5187,DoS
192.168.4.220,10.0.3.100,1539,8080,UDP,SYN-ACK,10,15931,2536,3.9432,1593.1,Benign
192.168.4.221,10.0.1.235,29784,9723,ICMP,SYN-ACK,124,9440,27959,4.4351,76.129,Backdoor
192.168.2.211,10.0.3.121,49320,3389,UDP,SYN-ACK,1065,36318,29013,36.7077,34.1014,BruteForce
192.168.3.179,10.0.2.130,5373,9376,UDP,FIN,160,47830,39704,4.0298,298.9375,Backdoor
192.168.1.196,10.0.0.165,43071,443,TCP,PSH-ACK,92,6459,51,1803.9216,70.2065,SQLInjection
192.168.7.52,10.0.5.79,21584,22,ICMP,SYN,523,75432,18920,27.6427,144.2294,BruteForce
192.168.3.217,10.0.4.176,27914,22,UDP,FIN,13,17583,1521,8.547,1352.5385,Benign
192.168.10.212,10.0.2.205,19491,22,TCP,SYN,28,12420,3323,8.4261,443.5714,Benign
192.168.7.242,10.0.4.58,2382,25,TCP,RST,44,41566,1973,22.3011,944.6818,Benign
192.168.2.250,10.0.3.51,18180,80,ICMP,ACK,30,41001,3613,8.3033,1366.7,Benign
192.168.10.67,10.0.1.23,63809,53,UDP,ACK,12,1425,4407,2.7229,118.75,Benign
192.168.7.198,10.0.3.212,45169,443,UDP,SYN,50,13813,1660,30.1205,276.26,Benign
192.168.5.74,10.0.5.127,26063,6136,TCP,FIN,173,33254,28544,6.0608,192.2197,Backdoor
192.168.4.108,10.0.1.105,52958,8080,TCP,SYN,21,15932,3794,5.5351,758.6667,Benign
192.168.4.95,10.0.4.176,43441,22,UDP,SYN,1160,44918,12592,92.122,38.7224,BruteForce
192.168.7.176,10.0.1.183,26156,25,ICMP,FIN,43,17292,698,61.6046,402.1395,Benign
192.168.2.143,10.0.0.14,22838,8080,TCP,FIN,43,44460,5000,8.6,1033.9535,Benign
192.168.1.2,10.0.2.130,41633,7677,UDP,SYN-ACK,191,53614,18666,10.2325,280.7016,Backdoor
192.168.9.11,10.0.4.46,18082,8481,TCP,RST,106,66352,18645,5.6852,625.9623,Backdoor
192.168.2.82,10.0.5.136,29396,80,TCP,SYN,25530,470459,3095,8248.7884,18.4277,DoS
192.168.8.224,10.0.2.192,24655,540,UDP,SYN,727,5321,2617,277.799,7.3191,PortScan
192.168.6.112,10.0.1.81,49315,53,UDP,ACK,47,42223,3704,12.689,898.3617,Benign
192.168.1.49,10.0.1.14,16088,22,TCP,SYN,21,11218,3926,5.349,534.1905,Benign
192.168.7.30,10.0.3.11,29959,9038,UDP,PSH-ACK,144,64999,42308,3.4036,451.3819,Backdoor
192.168.2.217,10.0.5.222,10726,80,TCP,SYN,18351,2483341,3959,4635.2614,135.3246,DoS
192.168.3.192,10.0.4.211,18901,80,TCP,SYN,43243,134609,9618,4496.0491,3.1129,DoS
192.168.10.47,10.0.3.236,6059,194,TCP,SYN,436,1425,1664,262.0192,3.2683,PortScan
192.168.2.101,10.0.2.152,61916,443,TCP,SYN-ACK,6,5812,3870,1.5504,968.6667,Benign
192.168.8.117,10.0.5.245,18674,80,TCP,SYN,26589,467815,8423,3156.7138,17.5943,DoS
192.168.6.243,10.0.5.188,60457,80,TCP,SYN,8190,2473590,6294,1301.2393,302.0256,DoS
192.168.1.191,10.0.0.141,63407,22,ICMP,FIN,1016,76889,7833,129.7076,75.6781,BruteForce
192.168.4.248,10.0.3.23,2368,22,TCP,ACK,30,19173,1362,22.0264,639.1,Benign
192.168.2.77,10.0.3.206,29359,9387,ICMP,SYN-ACK,53,52060,53615,0.9885,982.2642,Backdoor
192.168.2.214,10.0.2.132,14122,22,UDP,FIN,35,18095,4712,7.4278,517.0,Benign
192.168.10.109,10.0.0.194,28715,443,UDP,RST,32,41832,3589,8.9161,1307.25,Benign
192.168.2.11,10.0.4.88,64808,80,TCP,SYN,47441,1400818,9115,5204.7175,29.5276,DoS
192.168.9.162,10.0.5.135,6527,896,UDP,SYN,181,8825,1730,104.6243,48.7569,PortScan
192.168.3.252,10.0.1.176,60196,53,UDP,ACK,32,19864,4757,6.7269,620.75,Benign
192.168.1.142,10.0.0.235,3979,53,ICMP,SYN,32,27567,874,36.6133,861.4688,Benign
192.168.8.170,10.0.5.146,54293,443,TCP,SYN-ACK,84,4679,443,189.6163,55.7024,SQLInjection
192.168.9.5,10.0.0.190,44381,443,UDP,ACK,30,3466,782,38.3632,115.5333,Benign
192.168.7.225,10.0.5.77,21598,443,TCP,SYN,48926,3874436,5342,9158.742,79.1897,DoS
192.168.6.248,10.0.1.55,13153,443,TCP,SYN,49132,991966,8107,6060.4416,20.1898,DoS
192.168.9.5,10.0.0.102,8670,25,TCP,ACK,35,30657,3418,10.2399,875.9143,Benign
192.168.10.186,10.0.3.78,41557,443,TCP,SYN,24834,835136,3049,8144.9656,33.6287,DoS
192.168.3.4,10.0.1.29,54499,80,TCP,SYN,6757,1855144,8882,760.7521,274.5514,DoS
192.168.3.167,10.0.1.112,56211,80,TCP,RST,21,11860,444,47.2973,564.7619,SQLInjection
192.168.8.38,10.0.3.109,2453,443,TCP,ACK,49,29680,4073,12.0304,605.7143,Benign
192.168.8.6,10.0.3.150,16924,803,TCP,SYN,152,6469,532,285.7143,42.5592,PortScan
192.168.2.162,10.0.5.111,65215,25,UDP,FIN,42,39548,4640,9.0517,941.619,Benign
192.168.5.10,10.0.3.103,32881,25,ICMP,RST,44,44977,4096,10.7422,1022.2045,Benign
192.168.4.183,10.0.0.136,2270,647,UDP,SYN,666,2040,1597,417.0319,3.0631,PortScan
192.168.7.228,10.0.3.30,33450,8080,ICMP,PSH-ACK,33,46212,3673,8.9845,1400.3636,Benign
192.168.1.42,10.0.2.186,13620,22,UDP,SYN-ACK,19,33768,1899,10.0053,1777.2632,Benign
192.168.10.233,10.0.5.87,61430,960,ICMP,SYN,234,5806,2098,111.5348,24.812,PortScan
192.168.7.214,10.0.5.168,49165,443,UDP,FIN,44,14079,2413,18.2346,319.9773,Benign
192.168.2.171,10.0.3.34,12380,53,TCP,ACK,36,7112,3507,10.2652,197.5556,Benign
192.168.8.78,10.0.1.54,37516,7383,TCP,SYN,86,51798,54363,1.582,602.3023,Backdoor
192.168.3.45,10.0.4.9,53899,7971,TCP,SYN-ACK,49,85945,24856,1.9714,1753.9796,Backdoor
192.168.2.144,10.0.1.125,17920,80,UDP,SYN-ACK,40,18030,1338,29.8954,450.75,Benign
192.168.9.155,10.0.5.27,47318,22,TCP,FIN,12,7439,934,12.848,619.9167,Benign
192.168.9.11,10.0.4.27,11971,443,ICMP,SYN,28,10791,2493,11.2314,385.3929,Benign
192.168.8.196,10.0.4.128,49032,8080,TCP,ACK,56,12964,469,119.403,231.5,SQLInjection
192.168.3.32,10.0.1.113,64570,80,TCP,SYN,70,13184,196,357.1429,188.3429,SQLInjection
